AKTV,#genre#
無線新聞台,https://s1.tvm4a1.cfd/aktv/CH-1/AKTV.m3u8
Animax (HK),https://s1.tvm4a1.cfd/aktv/animaxhk/AKTV.m3u8
AXN,https://s1.tvm4a1.cfd/aktv/axn/AKTV.m3u8
Channel 5 HD,https://s1.tvm4a1.cfd/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,https://s1.tvm4a1.cfd/aktv/channel8hd/AKTV.m3u8
Channel U HD,https://s1.tvm4a1.cfd/aktv/channeluhd/AKTV.m3u8
Love Nature HD,https://s1.tvm4a1.cfd/aktv/lovenaturehd/AKTV.m3u8
PopC,https://s1.tvm4a1.cfd/aktv/popc/AKTV.m3u8
ROCK Action,https://s1.tvm4a1.cfd/aktv/rockaction/AKTV.m3u8
TVB Plus,https://s1.tvm4a1.cfd/aktv/tvbplus/AKTV.m3u8
tvN,https://s1.tvm4a1.cfd/aktv/tvn/AKTV.m3u8
天映經典(1080),https://s1.tvm4a1.cfd/aktv/1080/AKTV.m3u8
明珠剧集台(北美),https://s1.tvm4a1.cfd/aktv/CH-19/AKTV.m3u8
明珠台,https://s1.tvm4a1.cfd/aktv/CH-2/AKTV.m3u8
無線新聞台,https://s1.tvm4a1.cfd/aktv/CH-1/AKTV.m3u8
美亞電影台(HK),https://s1.tvm4a1.cfd/aktv/hk/AKTV.m3u8
翡翠剧集台(北美),https://s1.tvm4a1.cfd/aktv/CH-18/AKTV.m3u8
翡翠台,https://s1.tvm4a1.cfd/aktv/CH-0/AKTV.m3u8
翡翠综合台(北美),https://s1.tvm4a1.cfd/aktv/CH-17/AKTV.m3u8
鳳凰衛視中文台,https://s1.tvm4a1.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台,https://s1.tvm4a1.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視香港台,https://s1.tvm4a1.cfd/aktv/CH-5/AKTV.m3u8
黃金翡翠台,https://s1.tvm4a1.cfd/aktv/CH-6/AKTV.m3u8
天映电影,https://s1.tvm4a1.cfd/aktv2/CH-3/AKTV.m3u8
東森洋片,https://s1.tvm4a1.cfd/aktv2/CH-2/AKTV.m3u8
東森電影,https://s1.tvm4a1.cfd/aktv2/CH-1/AKTV.m3u8
緯來體育台,https://s1.tvm4a1.cfd/aktv2/CH-0/AKTV.m3u8
CNA,https://s1.tvm4a1.cfd/aktv3/cna/AKTV.m3u8
朝鲜恩情台,https://s1.tvm4a1.cfd/aktv3/CH-0/AKTV.m3u8
Japan News 24H LIVE,https://s1.tvm4a1.cfd/aktvjp/japannews24hlive/AKTV.m3u8
日テレNEWS LIVE,https://s1.tvm4a1.cfd/aktvjp/ntv/AKTV.m3u8
8TV,https://s1.tvm4a1.cfd/astro/8tv/AKTV.m3u8
Astro Football,https://s1.tvm4a1.cfd/astro/CH-0/AKTV.m3u8
Astro Sport UHD,https://s1.tvm4a1.cfd/astro/astrosportuhd/AKTV.m3u8
中天亚洲台,https://s1.tvm4a1.cfd/astro/CH-1/AKTV.m3u8
KLT-靖天國際台,https://s1.tvm4a1.cfd/taiwan/CH-3/AKTV.m3u8
TVBS,https://s1.tvm4a1.cfd/taiwan/tvbs/AKTV.m3u8
民視,https://s1.tvm4a1.cfd/taiwan/CH-1/AKTV.m3u8
民視第一台,https://s1.tvm4a1.cfd/taiwan/CH-0/AKTV.m3u8
龍華日韓台,https://s1.tvm4a1.cfd/taiwan/CH-5/AKTV.m3u8
TVB 星河,https://s1.tvm4a1.cfd/taiwan2/tvb/AKTV.m3u8
TVBS新聞,https://s1.tvm4a1.cfd/tvbs/tvbs/AKTV.m3u8
中天新闻台,https://s1.tvm4a1.cfd/zhongtian/CH-0/AKTV.m3u8
東森新聞,https://s1.tvm4a1.cfd/zhongtian/CH-1/AKTV.m3u8

港澳,#genre#
HOY 资讯,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
翡翠台,http://cdn.jdshipin.com/jisu.php?id=fct
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB Plus,http://php.jdshipin.com:8880/smt.php?id=j2_twn
无线新闻,http://cdn.jdshipin.com/jisu.php?id=wxxw
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
TVB娱乐新闻台,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
ViuTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
ViuTVSix,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
凤凰中文,http://cdn.jdshipin.com/jisu.php?id=fhzw
凤凰资讯,http://cdn.jdshipin.com/jisu.php?id=fhzx
凤凰香港,http://cdn.jdshipin.com/jisu.php?id=fhxg
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰港澳,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
八度空间,http://php.jdshipin.com:8880/smt.php?id=TV8
Astro AOD,http://php.jdshipin.com:8880/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com:8880/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com:8880/smt.php?id=Huahee
翡翠台4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
TVB PLUS,http://cdn.163189.xyz/live/tvbp/stream.m3u8
HOY TV,http://cdn.163189.xyz/live/hoy/stream.m3u8
澳视澳门,http://cdn.163189.xyz/live/asam/stream.m3u8
澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
凤凰资讯,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
TVB J1,http://cdn3.163189.xyz/live/j1/stream.m3u8
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=mzt
